Title,Artist,Nationality,Gender,Medium,Dimensions,CreditLine,Classification,DateAcquired,URL,Height (cm),Width (cm)
"Harlequin and the Gardener , plate from the illustrated book Toupies",Jean Lurí_at,(French),(Male),Etching and pochoir,"plate: 10 9/16 x 7"" (26.9 x 17.8 cm); sheet: 14 7/8 x 10 7/8"" (37.8 x 27.7 cm)",Gift of Abby Aldrich Rockefeller,Illustrated Book,4/5/40,http://www.moma.org/collection/works/16698,26.9,17.8
"Harlequin General , plate from the illustrated book Toupies",Jean Lurí_at,(French),(Male),"Etching, aquatint, and pochoir","plate: 10 9/16 x 7"" (26.9 x 17.8 cm); sheet: 14 15/16 x 11"" (38 x 28 cm)",Gift of Abby Aldrich Rockefeller,Illustrated Book,4/5/40,http://www.moma.org/collection/works/16699,26.9,17.8
"Harlequin and his Shadow (plate, folio 13) from Toupies",Jean Lurí_at,(French),(Male),Etching and pochoir,"plate: 10 9/16 x 7 1/16"" (26.9 x 17.9 cm); sheet: 14 3/4 x 11"" (37.5 x 28 cm)",Gift of Abby Aldrich Rockefeller,Illustrated Book,4/5/40,http://www.moma.org/collection/works/16700,26.9,17.9
Levana and Our Ladies of Sorrow,Ben Shahn,(American),(Male),Portfolio of ten lithographs and supplementary text,"composition (see child records): dimensions vary; sheet (each approx.): 13 x 9 15/16"" (33 x 25.2 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/32148,21.2,15.7
Behold What Is Greater from Levana and Our Ladies of Sorrow,Ben Shahn,(American),(Male),One from a portfolio of ten lithographs,"composition (irreg.): 11 11/16 x 7 15/16"" (29.7 x 20.2 cm); sheet: 13 í_9 15/16"" (33 í_25.2 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/32149,29.7,20.2
I Saw Dimly Relieved from Levana and Our Ladies of Sorrow,Ben Shahn,(American),(Male),One from a portfolio of ten lithographs,"composition (irreg.): 10 1/4 x 7 15/16"" (26.1 x 20.2 cm); sheet: 13 í_9 15/16"" (33 í_25.2 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/32150,26.1,20.2
Eternal Silence Reigns from Levana and Our Ladies of Sorrow,Ben Shahn,(American),(Male),One from a portfolio of ten lithographs,"composition (irreg.): 9 1/8 x 7 13/16"" (23.2 x 19.8 cm); sheet: 13 í_9 15/16"" (33 í_25.2 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/32151,23.2,19.8
Rachel Weeping from Levana and Our Ladies of Sorrow,Ben Shahn,(American),(Male),One from a portfolio of ten lithographs,"composition (irreg.): 11 5/8 x 8 1/8"" (29.6 x 20.6 cm); sheet: 13 í_9 15/16"" (33 í_25.2 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/32152,29.6,20.6
She It Was That Stood from Levana and Our Ladies of Sorrow,Ben Shahn,(American),(Male),One from a portfolio of ten lithographs,"composition (irreg.): 11 11/16 x 8 1/4"" (29.7 x 21 cm); sheet: 13 í_9 15/16"" (33 í_25.2 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/32153,29.7,21
Every Slave from Levana and Our Ladies of Sorrow,Ben Shahn,(American),(Male),One from a portfolio of ten lithographs,"composition (irreg.): 11 11/16 x 7 5/16"" (29.7 x 18.5 cm); sheet: 13 í_9 15/16"" (33 í_25.2 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/32154,29.7,18.5
Every Woman from Levana and Our Ladies of Sorrow,Ben Shahn,(American),(Male),One from a portfolio of ten lithographs,"composition (irreg.): 9 11/16 x 7 3/16"" (24.6 x 18.2 cm); sheet: 13 í_9 15/16"" (33 í_25.2 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/32155,24.6,18.2
She Also Is the Mother from Levana and Our Ladies of Sorrow,Ben Shahn,(American),(Male),One from a portfolio of ten lithographs,"composition (irreg.): 10 5/8 x 7 13/16"" (27 x 19.8 cm); sheet: 13 í_9 15/16"" (33 í_25.2 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/32156,27,19.8
He Worshipped the Worm from Levana and Our Ladies of Sorrow,Ben Shahn,(American),(Male),One from a portfolio of ten lithographs,"composition (irreg.): 11 1/2 x 8 1/8"" (29.2 x 20.6 cm); sheet: 13 í_9 15/16"" (33 í_25.2 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/32157,29.2,20.6
