"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy","Partner Economy Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Year","Value Flag Code","Value Flag","Text Value","Value"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","156","China","SITC3","Merchandise - SITC Revision 3 (aggregates)","MI","Fuels and mining products","A","Annual","A","Annual","USM","Million US dollar","2012","","","","635.61"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","156","China","SITC3","Merchandise - SITC Revision 3 (aggregates)","MI","Fuels and mining products","A","Annual","A","Annual","USM","Million US dollar","2011","","","","460"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","156","China","SITC3","Merchandise - SITC Revision 3 (aggregates)","MI","Fuels and mining products","A","Annual","A","Annual","USM","Million US dollar","2010","","","","690"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","156","China","SITC3","Merchandise - SITC Revision 3 (aggregates)","MI","Fuels and mining products","A","Annual","A","Annual","USM","Million US dollar","2017","","","","498.803"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","156","China","SITC3","Merchandise - SITC Revision 3 (aggregates)","MI","Fuels and mining products","A","Annual","A","Annual","USM","Million US dollar","2016","","","","391.442"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","156","China","SITC3","Merchandise - SITC Revision 3 (aggregates)","MI","Fuels and mining products","A","Annual","A","Annual","USM","Million US dollar","2015","","","","178.852"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","156","China","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2005","","","","3152"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","156","China","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2006","","","","3477"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","156","China","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2007","","","","5167"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","156","China","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2009","","","","3665"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","156","China","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2008","","","","6354"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","156","China","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2011","","","","6233"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","156","China","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2010","","","","5798"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","156","China","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2014","","","","4459.979"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","156","China","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2012","","","","5021.346"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","156","China","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2013","","","","5872"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","156","China","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2015","","","","5173.793"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","156","China","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2016","","","","4425.23"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","156","China","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2017","","","","4324.963"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","356","India","SITC3","Merchandise - SITC Revision 3 (aggregates)","AG","Agricultural products","A","Annual","A","Annual","USM","Million US dollar","2017","","","","1992.854"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","356","India","SITC3","Merchandise - SITC Revision 3 (aggregates)","AG","Agricultural products","A","Annual","A","Annual","USM","Million US dollar","2014","","","","1421.347"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","356","India","SITC3","Merchandise - SITC Revision 3 (aggregates)","AG","Agricultural products","A","Annual","A","Annual","USM","Million US dollar","2015","","","","1864.221"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","356","India","SITC3","Merchandise - SITC Revision 3 (aggregates)","AG","Agricultural products","A","Annual","A","Annual","USM","Million US dollar","2016","","","","2081.795"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","356","India","SITC3","Merchandise - SITC Revision 3 (aggregates)","AG","Agricultural products","A","Annual","A","Annual","USM","Million US dollar","2007","","","","751"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","356","India","SITC3","Merchandise - SITC Revision 3 (aggregates)","AG","Agricultural products","A","Annual","A","Annual","USM","Million US dollar","2006","","","","737"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","356","India","SITC3","Merchandise - SITC Revision 3 (aggregates)","AG","Agricultural products","A","Annual","A","Annual","USM","Million US dollar","2005","","","","622"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","356","India","SITC3","Merchandise - SITC Revision 3 (aggregates)","AG","Agricultural products","A","Annual","A","Annual","USM","Million US dollar","2008","","","","701"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","356","India","SITC3","Merchandise - SITC Revision 3 (aggregates)","AG","Agricultural products","A","Annual","A","Annual","USM","Million US dollar","2009","","","","574"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","356","India","SITC3","Merchandise - SITC Revision 3 (aggregates)","AG","Agricultural products","A","Annual","A","Annual","USM","Million US dollar","2010","","","","1216"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","356","India","SITC3","Merchandise - SITC Revision 3 (aggregates)","AG","Agricultural products","A","Annual","A","Annual","USM","Million US dollar","2011","","","","1008"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","356","India","SITC3","Merchandise - SITC Revision 3 (aggregates)","AG","Agricultural products","A","Annual","A","Annual","USM","Million US dollar","2012","","","","1085.269"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","356","India","SITC3","Merchandise - SITC Revision 3 (aggregates)","AG","Agricultural products","A","Annual","A","Annual","USM","Million US dollar","2013","","","","1031"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","356","India","SITC3","Merchandise - SITC Revision 3 (aggregates)","MA","Manufactures","A","Annual","A","Annual","USM","Million US dollar","2005","","","","43"
